country,Movie,TV Show
Argentina,56,20
Australia,61,53
Austria,8,1
Bangladesh,3,0
Belarus,0,1
Belgium,9,9
Brazil,60,28
Bulgaria,5,0
Cambodia,2,0
Cameroon,1,0
Canada,187,84
Chile,18,4
China,59,41
Colombia,17,25
Croatia,1,1
Cyprus,0,1
Czech Republic,5,1
Denmark,19,11
Egypt,109,14
Finland,3,3
France,148,65
Georgia,2,0
Germany,79,25
Ghana,4,0
Greece,1,0
Guatemala,1,0
Hong Kong,76,3
Hungary,5,0
Iceland,3,3
India,976,81
Indonesia,84,2
Iran,1,0
Ireland,22,6
Israel,12,10
Italy,47,19
Jamaica,1,0
Japan,87,172
Jordan,0,2
Kenya,4,0
Kuwait,5,2
Lebanon,18,6
Luxembourg,0,1
Malaysia,16,7
Mauritius,1,1
Mexico,90,48
Mozambique,1,0
Namibia,1,0
Netherlands,23,5
New Zealand,15,2
Nigeria,96,9
Norway,12,9
Not Given,257,30
Pakistan,71,350
Paraguay,1,0
Peru,6,0
Philippines,80,3
Poland,22,8
Portugal,4,0
Puerto Rico,0,1
Romania,10,0
Russia,5,14
Saudi Arabia,7,5
Senegal,0,1
Serbia,3,0
Singapore,10,18
Slovenia,1,0
Somalia,1,0
South Africa,35,7
South Korea,49,165
Soviet Union,1,0
Spain,129,53
Sweden,11,8
Switzerland,7,1
Syria,2,0
Taiwan,15,71
Thailand,42,24
Turkey,82,30
Ukraine,0,2
United Arab Emirates,20,1
United Kingdom,387,251
United States,2395,845
Uruguay,8,1
Venezuela,2,0
Vietnam,7,0
West Germany,1,0
Zimbabwe,1,0
